source,target,relation,weight
entity_european_union,entity_ukraine,CO_MENTIONED_WITH,1.0
entity_russian,entity_ukraine,CO_MENTIONED_WITH,1.0
entity_european_union,topic_geopolitics,BELONGS_TO,1.0
entity_russian,topic_geopolitics,BELONGS_TO,1.0
entity_ukraine,topic_geopolitics,BELONGS_TO,1.0
post_p005,entity_android,MENTIONS,1.0
post_p005,entity_developers,MENTIONS,1.0
post_p005,entity_google,MENTIONS,1.0
post_p005,entity_microsoft,MENTIONS,1.0
post_p005,entity_openai,MENTIONS,1.0
entity_android,entity_developers,CO_MENTIONED_WITH,1.0
entity_android,entity_google,CO_MENTIONED_WITH,1.0
entity_android,entity_microsoft,CO_MENTIONED_WITH,1.0
entity_android,entity_openai,CO_MENTIONED_WITH,1.0
entity_developers,entity_google,CO_MENTIONED_WITH,1.0
entity_developers,entity_microsoft,CO_MENTIONED_WITH,1.0
entity_developers,entity_openai,CO_MENTIONED_WITH,1.0
entity_google,entity_microsoft,CO_MENTIONED_WITH,2.0
entity_google,entity_openai,CO_MENTIONED_WITH,1.0
entity_android,topic_ai,BELONGS_TO,1.0
entity_developers,topic_ai,BELONGS_TO,1.0
entity_google,topic_ai,BELONGS_TO,2.0
post_p006,entity_european_union,MENTIONS,1.0
post_p006,entity_germany,MENTIONS,1.0
post_p006,entity_local,MENTIONS,1.0
post_p006,entity_the_european_union,MENTIONS,1.0
entity_european_union,entity_germany,CO_MENTIONED_WITH,1.0
entity_european_union,entity_local,CO_MENTIONED_WITH,1.0
entity_european_union,entity_the_european_union,CO_MENTIONED_WITH,1.0
entity_germany,entity_local,CO_MENTIONED_WITH,1.0
entity_germany,entity_the_european_union,CO_MENTIONED_WITH,1.0
entity_local,entity_the_european_union,CO_MENTIONED_WITH,1.0
entity_european_union,topic_climate,BELONGS_TO,1.0
entity_germany,topic_climate,BELONGS_TO,1.0
entity_local,topic_climate,BELONGS_TO,1.0
entity_the_european_union,topic_climate,BELONGS_TO,1.0
post_p007,entity_apple,MENTIONS,1.0
post_p007,entity_foxconn,MENTIONS,1.0
post_p007,entity_nvidia,MENTIONS,1.0
post_p007,entity_taiwan,MENTIONS,1.0
entity_apple,entity_foxconn,CO_MENTIONED_WITH,1.0
entity_foxconn,entity_nvidia,CO_MENTIONED_WITH,1.0
entity_foxconn,entity_taiwan,CO_MENTIONED_WITH,1.0
entity_apple,topic_ai,BELONGS_TO,1.0
entity_foxconn,topic_ai,BELONGS_TO,1.0
entity_taiwan,topic_ai,BELONGS_TO,1.0
entity_foxconn,topic_semiconductors,BELONGS_TO,1.0
entity_apple,topic_cloud_infrastructure,BELONGS_TO,1.0
entity_foxconn,topic_cloud_infrastructure,BELONGS_TO,1.0
entity_taiwan,topic_cloud_infrastructure,BELONGS_TO,1.0
post_p008,entity_europe,MENTIONS,1.0
post_p008,entity_india,MENTIONS,1.0
post_p008,entity_meta,MENTIONS,1.0
post_p008,entity_united_states,MENTIONS,1.0
entity_europe,entity_india,CO_MENTIONED_WITH,2.0
entity_europe,entity_meta,CO_MENTIONED_WITH,1.0
entity_europe,entity_united_states,CO_MENTIONED_WITH,2.0
entity_india,entity_meta,CO_MENTIONED_WITH,1.0
entity_india,entity_united_states,CO_MENTIONED_WITH,2.0
entity_meta,entity_united_states,CO_MENTIONED_WITH,1.0
entity_europe,topic_ai,BELONGS_TO,1.0
entity_india,topic_ai,BELONGS_TO,1.0
entity_meta,topic_ai,BELONGS_TO,1.0
entity_united_states,topic_ai,BELONGS_TO,1.0
post_p009,entity_japan,MENTIONS,1.0
post_p009,entity_south_korea,MENTIONS,1.0
entity_japan,entity_south_korea,CO_MENTIONED_WITH,1.0
entity_japan,topic_semiconductors,BELONGS_TO,1.0
entity_south_korea,topic_semiconductors,BELONGS_TO,1.0
post_p010,entity_ai_generated,MENTIONS,1.0
post_p010,entity_europe,MENTIONS,1.0
post_p010,entity_india,MENTIONS,1.0
post_p010,entity_the_united_nations,MENTIONS,1.0
post_p010,entity_united_nations,MENTIONS,1.0
post_p010,entity_united_states,MENTIONS,1.0
entity_ai_generated,entity_europe,CO_MENTIONED_WITH,1.0
entity_ai_generated,entity_india,CO_MENTIONED_WITH,1.0
entity_ai_generated,entity_the_united_nations,CO_MENTIONED_WITH,1.0
entity_ai_generated,entity_united_nations,CO_MENTIONED_WITH,1.0
entity_ai_generated,entity_united_states,CO_MENTIONED_WITH,1.0
entity_europe,entity_the_united_nations,CO_MENTIONED_WITH,1.0
entity_europe,entity_united_nations,CO_MENTIONED_WITH,1.0
entity_india,entity_the_united_nations,CO_MENTIONED_WITH,1.0
entity_india,entity_united_nations,CO_MENTIONED_WITH,1.0
entity_the_united_nations,entity_united_nations,CO_MENTIONED_WITH,1.0
entity_the_united_nations,entity_united_states,CO_MENTIONED_WITH,1.0
entity_united_nations,entity_united_states,CO_MENTIONED_WITH,2.0
entity_ai_generated,topic_misinformation,BELONGS_TO,1.0
entity_europe,topic_misinformation,BELONGS_TO,1.0
entity_india,topic_misinformation,BELONGS_TO,1.0
entity_the_united_nations,topic_misinformation,BELONGS_TO,1.0
entity_united_nations,topic_misinformation,BELONGS_TO,1.0
entity_united_states,topic_misinformation,BELONGS_TO,1.0
post_p011,entity_amazon,MENTIONS,1.0
post_p011,entity_cloud,MENTIONS,1.0
post_p011,entity_google,MENTIONS,1.0
post_p011,entity_microsoft,MENTIONS,1.0
post_p011,entity_nvidia,MENTIONS,1.0
entity_amazon,entity_cloud,CO_MENTIONED_WITH,1.0
entity_amazon,entity_google,CO_MENTIONED_WITH,1.0
entity_amazon,entity_microsoft,CO_MENTIONED_WITH,1.0
entity_amazon,entity_nvidia,CO_MENTIONED_WITH,1.0
entity_cloud,entity_google,CO_MENTIONED_WITH,1.0
entity_cloud,entity_microsoft,CO_MENTIONED_WITH,1.0
entity_cloud,entity_nvidia,CO_MENTIONED_WITH,1.0
entity_google,entity_nvidia,CO_MENTIONED_WITH,1.0
entity_amazon,topic_ai,BELONGS_TO,1.0
entity_cloud,topic_ai,BELONGS_TO,1.0
entity_amazon,topic_cloud_infrastructure,BELONGS_TO,1.0
entity_cloud,topic_cloud_infrastructure,BELONGS_TO,1.0
entity_google,topic_cloud_infrastructure,BELONGS_TO,1.0
post_p012,entity_middle_east,MENTIONS,1.0
post_p012,entity_qatar,MENTIONS,1.0
post_p012,entity_qatar_negotiators,MENTIONS,1.0
post_p012,entity_united_nations,MENTIONS,1.0
post_p012,entity_united_states,MENTIONS,1.0
entity_middle_east,entity_qatar,CO_MENTIONED_WITH,1.0
entity_middle_east,entity_qatar_negotiators,CO_MENTIONED_WITH,1.0
entity_middle_east,entity_united_nations,CO_MENTIONED_WITH,1.0
entity_middle_east,entity_united_states,CO_MENTIONED_WITH,1.0
entity_qatar,entity_qatar_negotiators,CO_MENTIONED_WITH,1.0
entity_qatar,entity_united_nations,CO_MENTIONED_WITH,1.0
entity_qatar,entity_united_states,CO_MENTIONED_WITH,1.0
entity_qatar_negotiators,entity_united_nations,CO_MENTIONED_WITH,1.0
entity_qatar_negotiators,entity_united_states,CO_MENTIONED_WITH,1.0
entity_middle_east,topic_geopolitics,BELONGS_TO,1.0
entity_qatar,topic_geopolitics,BELONGS_TO,1.0
entity_qatar_negotiators,topic_geopolitics,BELONGS_TO,1.0
entity_united_nations,topic_geopolitics,BELONGS_TO,1.0
