source,target,relation,weight
post_w005,entity_ethereum,MENTIONS,1.0
post_w005,entity_layer,MENTIONS,1.0
post_w005,entity_layer_2,MENTIONS,1.0
post_w005,entity_optimism,MENTIONS,1.0
post_w005,entity_polygon,MENTIONS,1.0
entity_arbitrum,entity_base,CO_MENTIONED_WITH,1.0
entity_arbitrum,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_arbitrum,entity_layer,CO_MENTIONED_WITH,1.0
entity_arbitrum,entity_layer_2,CO_MENTIONED_WITH,1.0
entity_arbitrum,entity_optimism,CO_MENTIONED_WITH,1.0
entity_arbitrum,entity_polygon,CO_MENTIONED_WITH,1.0
entity_base,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_base,entity_layer,CO_MENTIONED_WITH,1.0
entity_base,entity_layer_2,CO_MENTIONED_WITH,1.0
entity_base,entity_optimism,CO_MENTIONED_WITH,1.0
entity_base,entity_polygon,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_layer,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_layer_2,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_optimism,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_polygon,CO_MENTIONED_WITH,3.0
entity_layer,entity_layer_2,CO_MENTIONED_WITH,1.0
entity_layer,entity_optimism,CO_MENTIONED_WITH,1.0
entity_layer,entity_polygon,CO_MENTIONED_WITH,1.0
entity_layer_2,entity_optimism,CO_MENTIONED_WITH,1.0
entity_layer_2,entity_polygon,CO_MENTIONED_WITH,1.0
entity_optimism,entity_polygon,CO_MENTIONED_WITH,1.0
entity_arbitrum,topic_layer2_scaling,BELONGS_TO,1.0
entity_base,topic_layer2_scaling,BELONGS_TO,2.0
entity_ethereum,topic_layer2_scaling,BELONGS_TO,2.0
entity_layer,topic_layer2_scaling,BELONGS_TO,1.0
entity_layer_2,topic_layer2_scaling,BELONGS_TO,1.0
entity_optimism,topic_layer2_scaling,BELONGS_TO,1.0
entity_polygon,topic_layer2_scaling,BELONGS_TO,2.0
entity_arbitrum,topic_cross_chain,BELONGS_TO,1.0
entity_base,topic_cross_chain,BELONGS_TO,1.0
entity_ethereum,topic_cross_chain,BELONGS_TO,2.0
entity_layer,topic_cross_chain,BELONGS_TO,1.0
entity_layer_2,topic_cross_chain,BELONGS_TO,1.0
entity_optimism,topic_cross_chain,BELONGS_TO,1.0
entity_polygon,topic_cross_chain,BELONGS_TO,2.0
post_w006,entity_immutable,MENTIONS,1.0
post_w006,entity_nft,MENTIONS,1.0
post_w006,entity_polygon,MENTIONS,1.0
post_w006,entity_ronin,MENTIONS,1.0
entity_immutable,entity_nft,CO_MENTIONED_WITH,1.0
entity_immutable,entity_polygon,CO_MENTIONED_WITH,1.0
entity_immutable,entity_ronin,CO_MENTIONED_WITH,1.0
entity_nft,entity_polygon,CO_MENTIONED_WITH,1.0
entity_nft,entity_ronin,CO_MENTIONED_WITH,1.0
entity_polygon,entity_ronin,CO_MENTIONED_WITH,1.0
entity_immutable,topic_nft_and_gaming,BELONGS_TO,1.0
entity_nft,topic_nft_and_gaming,BELONGS_TO,1.0
entity_polygon,topic_nft_and_gaming,BELONGS_TO,1.0
entity_ronin,topic_nft_and_gaming,BELONGS_TO,1.0
post_w007,entity_aave,MENTIONS,1.0
post_w007,entity_chainlink,MENTIONS,1.0
post_w007,entity_dai,MENTIONS,1.0
post_w007,entity_usdc,MENTIONS,1.0
post_w007,entity_usdt,MENTIONS,1.0
entity_aave,entity_chainlink,CO_MENTIONED_WITH,1.0
entity_aave,entity_dai,CO_MENTIONED_WITH,1.0
entity_aave,entity_usdc,CO_MENTIONED_WITH,1.0
entity_aave,entity_usdt,CO_MENTIONED_WITH,1.0
entity_chainlink,entity_dai,CO_MENTIONED_WITH,1.0
entity_chainlink,entity_usdc,CO_MENTIONED_WITH,1.0
entity_chainlink,entity_usdt,CO_MENTIONED_WITH,1.0
entity_dai,entity_usdc,CO_MENTIONED_WITH,1.0
entity_dai,entity_usdt,CO_MENTIONED_WITH,1.0
entity_usdc,entity_usdt,CO_MENTIONED_WITH,1.0
entity_aave,topic_defi,BELONGS_TO,1.0
entity_chainlink,topic_defi,BELONGS_TO,2.0
entity_dai,topic_defi,BELONGS_TO,1.0
entity_usdc,topic_defi,BELONGS_TO,1.0
entity_usdt,topic_defi,BELONGS_TO,1.0
entity_aave,topic_governance,BELONGS_TO,1.0
entity_chainlink,topic_governance,BELONGS_TO,1.0
entity_dai,topic_governance,BELONGS_TO,2.0
entity_usdc,topic_governance,BELONGS_TO,1.0
entity_usdt,topic_governance,BELONGS_TO,1.0
entity_aave,topic_security,BELONGS_TO,1.0
entity_chainlink,topic_security,BELONGS_TO,1.0
entity_dai,topic_security,BELONGS_TO,2.0
entity_usdc,topic_security,BELONGS_TO,1.0
entity_usdt,topic_security,BELONGS_TO,1.0
entity_aave,topic_stablecoins,BELONGS_TO,1.0
entity_chainlink,topic_stablecoins,BELONGS_TO,1.0
entity_dai,topic_stablecoins,BELONGS_TO,2.0
entity_usdc,topic_stablecoins,BELONGS_TO,1.0
entity_usdt,topic_stablecoins,BELONGS_TO,1.0
post_w008,entity_dai,MENTIONS,1.0
post_w008,entity_makerdao,MENTIONS,1.0
post_w008,entity_the,MENTIONS,1.0
post_w008,entity_us_treasury,MENTIONS,1.0
entity_dai,entity_makerdao,CO_MENTIONED_WITH,1.0
entity_dai,entity_the,CO_MENTIONED_WITH,1.0
entity_dai,entity_us_treasury,CO_MENTIONED_WITH,1.0
entity_makerdao,entity_the,CO_MENTIONED_WITH,1.0
entity_makerdao,entity_us_treasury,CO_MENTIONED_WITH,1.0
entity_the,entity_us_treasury,CO_MENTIONED_WITH,1.0
entity_makerdao,topic_governance,BELONGS_TO,1.0
entity_the,topic_governance,BELONGS_TO,1.0
entity_us_treasury,topic_governance,BELONGS_TO,1.0
entity_makerdao,topic_security,BELONGS_TO,1.0
entity_the,topic_security,BELONGS_TO,1.0
entity_us_treasury,topic_security,BELONGS_TO,1.0
entity_makerdao,topic_stablecoins,BELONGS_TO,1.0
entity_the,topic_stablecoins,BELONGS_TO,1.0
entity_us_treasury,topic_stablecoins,BELONGS_TO,1.0
post_w009,entity_avalanche,MENTIONS,1.0
post_w009,entity_ccip,MENTIONS,1.0
post_w009,entity_chainlink,MENTIONS,1.0
post_w009,entity_defi,MENTIONS,1.0
post_w009,entity_ethereum,MENTIONS,1.0
post_w009,entity_polygon,MENTIONS,1.0
entity_avalanche,entity_ccip,CO_MENTIONED_WITH,1.0
entity_avalanche,entity_chainlink,CO_MENTIONED_WITH,1.0
entity_avalanche,entity_defi,CO_MENTIONED_WITH,1.0
entity_avalanche,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_avalanche,entity_polygon,CO_MENTIONED_WITH,1.0
entity_ccip,entity_chainlink,CO_MENTIONED_WITH,1.0
entity_ccip,entity_defi,CO_MENTIONED_WITH,1.0
entity_ccip,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_ccip,entity_polygon,CO_MENTIONED_WITH,1.0
entity_chainlink,entity_defi,CO_MENTIONED_WITH,1.0
entity_chainlink,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_chainlink,entity_polygon,CO_MENTIONED_WITH,1.0
entity_defi,entity_polygon,CO_MENTIONED_WITH,1.0
entity_avalanche,topic_defi,BELONGS_TO,1.0
entity_ccip,topic_defi,BELONGS_TO,1.0
entity_polygon,topic_defi,BELONGS_TO,1.0
entity_avalanche,topic_cross_chain,BELONGS_TO,1.0
entity_ccip,topic_cross_chain,BELONGS_TO,1.0
entity_chainlink,topic_cross_chain,BELONGS_TO,1.0
entity_defi,topic_cross_chain,BELONGS_TO,1.0
post_w010,entity_ledger,MENTIONS,1.0
entity_ledger,topic_security,BELONGS_TO,1.0
post_w011,entity_avs,MENTIONS,1.0
post_w011,entity_actively_validated_services,MENTIONS,1.0
post_w011,entity_eigenlayer,MENTIONS,1.0
post_w011,entity_ethereum,MENTIONS,1.0
post_w011,entity_renzo,MENTIONS,1.0
post_w011,entity_ether_fi,MENTIONS,1.0
entity_actively_validated_services,entity_avs,CO_MENTIONED_WITH,1.0
entity_actively_validated_services,entity_eigenlayer,CO_MENTIONED_WITH,1.0
entity_actively_validated_services,entity_ether_fi,CO_MENTIONED_WITH,1.0
entity_actively_validated_services,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_actively_validated_services,entity_renzo,CO_MENTIONED_WITH,1.0
entity_avs,entity_eigenlayer,CO_MENTIONED_WITH,1.0
entity_avs,entity_ether_fi,CO_MENTIONED_WITH,1.0
entity_avs,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_avs,entity_renzo,CO_MENTIONED_WITH,1.0
entity_eigenlayer,entity_ether_fi,CO_MENTIONED_WITH,1.0
entity_eigenlayer,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_eigenlayer,entity_renzo,CO_MENTIONED_WITH,1.0
entity_ether_fi,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_ether_fi,entity_renzo,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_renzo,CO_MENTIONED_WITH,1.0
entity_avs,topic_restaking,BELONGS_TO,1.0
entity_actively_validated_services,topic_restaking,BELONGS_TO,1.0
entity_eigenlayer,topic_restaking,BELONGS_TO,1.0
entity_renzo,topic_restaking,BELONGS_TO,1.0
entity_ether_fi,topic_restaking,BELONGS_TO,1.0
post_w012,entity_binance,MENTIONS,1.0
post_w012,entity_coinbase,MENTIONS,1.0
post_w012,entity_sec,MENTIONS,1.0
post_w012,entity_the_sec,MENTIONS,1.0
post_w012,entity_united_states,MENTIONS,1.0
entity_binance,entity_coinbase,CO_MENTIONED_WITH,1.0
entity_binance,entity_sec,CO_MENTIONED_WITH,1.0
entity_binance,entity_the_sec,CO_MENTIONED_WITH,1.0
entity_binance,entity_united_states,CO_MENTIONED_WITH,1.0
entity_coinbase,entity_sec,CO_MENTIONED_WITH,1.0
entity_coinbase,entity_the_sec,CO_MENTIONED_WITH,1.0
entity_coinbase,entity_united_states,CO_MENTIONED_WITH,1.0
entity_sec,entity_the_sec,CO_MENTIONED_WITH,1.0
entity_sec,entity_united_states,CO_MENTIONED_WITH,1.0
entity_the_sec,entity_united_states,CO_MENTIONED_WITH,1.0
entity_binance,topic_institutional_crypto,BELONGS_TO,1.0
entity_coinbase,topic_institutional_crypto,BELONGS_TO,1.0
entity_sec,topic_institutional_crypto,BELONGS_TO,1.0
entity_the_sec,topic_institutional_crypto,BELONGS_TO,1.0
entity_united_states,topic_institutional_crypto,BELONGS_TO,1.0
entity_binance,topic_stablecoins,BELONGS_TO,1.0
entity_coinbase,topic_stablecoins,BELONGS_TO,1.0
entity_sec,topic_stablecoins,BELONGS_TO,1.0
entity_the_sec,topic_stablecoins,BELONGS_TO,1.0
entity_united_states,topic_stablecoins,BELONGS_TO,1.0
post_w013,entity_curve,MENTIONS,1.0
post_w013,entity_defi,MENTIONS,1.0
post_w013,entity_ethereum,MENTIONS,1.0
post_w013,entity_lido,MENTIONS,1.0
post_w013,entity_steth,MENTIONS,1.0
entity_curve,entity_defi,CO_MENTIONED_WITH,1.0
entity_curve,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_curve,entity_lido,CO_MENTIONED_WITH,1.0
entity_curve,entity_steth,CO_MENTIONED_WITH,1.0
entity_defi,entity_lido,CO_MENTIONED_WITH,1.0
entity_defi,entity_steth,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_lido,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_steth,CO_MENTIONED_WITH,1.0
entity_lido,entity_steth,CO_MENTIONED_WITH,1.0
entity_curve,topic_defi,BELONGS_TO,1.0
entity_lido,topic_defi,BELONGS_TO,1.0
entity_steth,topic_defi,BELONGS_TO,1.0
post_w014,entity_base,MENTIONS,1.0
post_w014,entity_coinbase,MENTIONS,1.0
entity_base,entity_coinbase,CO_MENTIONED_WITH,1.0
entity_coinbase,topic_layer2_scaling,BELONGS_TO,1.0
post_w015,entity_aztec,MENTIONS,1.0
post_w015,entity_ethereum,MENTIONS,1.0
post_w015,entity_polygon,MENTIONS,1.0
post_w015,entity_polygon_zkevm,MENTIONS,1.0
post_w015,entity_starknet,MENTIONS,1.0
post_w015,entity_zksync,MENTIONS,1.0
entity_aztec,entity_ethereum,CO_MENTIONED_WITH,1.0
entity_aztec,entity_polygon,CO_MENTIONED_WITH,1.0
entity_aztec,entity_polygon_zkevm,CO_MENTIONED_WITH,1.0
entity_aztec,entity_starknet,CO_MENTIONED_WITH,1.0
entity_aztec,entity_zksync,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_polygon_zkevm,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_starknet,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_zksync,CO_MENTIONED_WITH,1.0
entity_polygon,entity_polygon_zkevm,CO_MENTIONED_WITH,1.0
entity_polygon,entity_starknet,CO_MENTIONED_WITH,1.0
entity_polygon,entity_zksync,CO_MENTIONED_WITH,1.0
entity_polygon_zkevm,entity_starknet,CO_MENTIONED_WITH,1.0
entity_polygon_zkevm,entity_zksync,CO_MENTIONED_WITH,1.0
entity_starknet,entity_zksync,CO_MENTIONED_WITH,1.0
entity_aztec,topic_layer2_scaling,BELONGS_TO,1.0
entity_polygon_zkevm,topic_layer2_scaling,BELONGS_TO,1.0
entity_starknet,topic_layer2_scaling,BELONGS_TO,1.0
entity_zksync,topic_layer2_scaling,BELONGS_TO,1.0
