YieldRate,BadPiece,Machine
1.0,0.0,MS-032
1.0,0.0,SW-020
1.0,0.0,IN-009
1.0,0.0,MS-034
1.0,0.0,IN-003
1.0,0.0,IN-001
1.0,0.0,HB-001
1.0,0.0,GA-597
1.0,0.0,GA-594
1.0,0.0,GA-580
1.0,0.0,GA-558
1.0,0.0,GA-438
1.0,0.0,SA-002
1.0,0.0,FW-001
1.0,0.0,IN-004
1.0,0.0,FT-083
1.0,0.0,FN-017
1.0,0.0,FN-016
1.0,0.0,CU-001
1.0,0.0,SW-016
1.0,0.0,CR-050
1.0,0.0,CR-040
1.0,0.0,CR-031
1.0,0.0,CR-025
1.0,0.0,AL-003
1.0,0.0,AL-002
1.0,0.0,FT-044
1.0,0.0,MS-041
1.0,0.0,IN-005
1.0,0.0,LS-012
1.0,0.0,MS-033
1.0,0.0,MS-026
1.0,0.0,MS-020
1.0,0.0,MS-019
1.0,0.0,MS-018
1.0,0.0,MS-017
1.0,0.0,MS-016
1.0,0.0,MK-034
1.0,0.0,MK-023
1.0,0.0,PK-011
1.0,0.0,IS-010
1.0,0.0,PL-001
1.0,0.0,MK-018
1.0,0.0,MK-016
1.0,0.0,MK-011
1.0,0.0,LS-068
1.0,0.0,LS-067
1.0,0.0,LS-064
1.0,0.0,LS-058
1.0,0.0,LS-056
1.0,0.0,LS-052
1.0,0.0,LS-026
1.0,0.0,MK-022
1.0,0.0,WB-075
